"region_id","typhoon_no","typhoon_name","year","ty_label","mean","lower","upper"
35,"2019260N20129","TAPAH",2019,"2019-TAPAH",0.564418111968394,-0.64330557053711,1.91978100352959
36,"2011192N18158","MA-ON",2011,"2011-MA-ON",-0.737471175888559,-1.6257459977488,0.207702532268688
36,"2011236N15143","TALAS",2011,"2011-TALAS",-0.539667095917484,-1.19254590414089,0.151220106252863
36,"2011253N20145","ROKE",2011,"2011-ROKE",-0.495639261565311,-1.35750752783205,0.43079076429123
36,"2012162N06150","GUCHOL",2012,"2012-GUCHOL",-0.41996732245153,-0.929654916941277,0.117244222256354
36,"2012263N15141","JELAWAT",2012,"2012-JELAWAT",-0.463786171640265,-1.02637929212465,0.129550888240451
36,"2013255N20148","MAN-YI",2013,"2013-MAN-YI",-0.413458953347169,-0.915082747777217,0.115471439821304
36,"2014209N12152","HALONG",2014,"2014-HALONG",-0.727602727186007,-1.60232996149929,0.205375131243584
36,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",-0.640378975679705,-1.41273267998145,0.180079246281834
36,"2015188N08194","HALOLA",2015,"2015-HALOLA",-0.402257801665903,-1.94222431676941,1.13123062290749
36,"2016256N12146","MALAKAS",2016,"2016-MALAKAS",-0.511236237397334,-1.12906429020514,0.143430265490854
36,"2017200N26162","NORU",2017,"2017-NORU",-0.410502227362487,-0.90829531078401,0.114710941398598
36,"2017252N14147","TALIM",2017,"2017-TALIM",-0.615885612914965,-1.35713037601632,0.173617102719191
36,"2018226N23128","RUMBIA",2018,"2018-RUMBIA",-0.497173987170419,-1.0977161129469,0.139563786845216
36,"2018239N11161","JEBI",2018,"2018-JEBI",-0.734405399835824,-1.77051352798429,0.321339484849103
36,"2018263N12146","TRAMI",2018,"2018-TRAMI",-0.558321084321246,-1.23212105817834,0.1568915146615
36,"2019216N16147","KROSA",2019,"2019-KROSA",-0.538721178535593,-1.18850693460931,0.151481400847962
37,"2011192N18158","MA-ON",2011,"2011-MA-ON",0.318776374882246,-0.193756273546813,0.852821764459297
37,"2011236N15143","TALAS",2011,"2011-TALAS",0.247460451705675,-0.150685084200156,0.661567751892045
37,"2013255N20148","MAN-YI",2013,"2013-MAN-YI",0.16660377033419,-0.101696817966968,0.444989076857793
37,"2014209N12152","HALONG",2014,"2014-HALONG",0.278204887859097,-0.169158029338113,0.744177363933096
37,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.25586329599334,-0.155738918970268,0.684137616192581
37,"2015188N08194","HALOLA",2015,"2015-HALOLA",0.847563189303276,-0.12918418239511,1.83682466056457
37,"2016256N12146","MALAKAS",2016,"2016-MALAKAS",0.213568170341338,-0.130080393559165,0.570903515277613
37,"2017252N14147","TALIM",2017,"2017-TALIM",0.243654875665652,-0.148182911085031,0.651704100003836
